NM_144970|CXorf38|chrX|-	784.7	40489213	chrX:40486173-40489414	70.74	8.90	0.89	82.95	151.49	0.35	0.89	0.35	0.54	3.985751642520109e-18	5.90931004391e-17	Y
NM_012216|MID2|chrX|+	101.3	107170343	chrX:107169901-107174867	34.51	20.99	0.62	11.63	84.61	0.12	0.62	0.12	0.5	9.674357310675483e-11	7.01905498498e-10	Y
NM_001080975|REPS2|chrX|+	67.7	17165737	chrX:17165536-17171403	35.95	20.15	0.64	5.49	38.04	0.13	0.64	0.13	0.51	1.2767300457392758e-07	6.04673535552e-07	Y
NM_001177465|MAMLD1|chrX|+	104.2	149681545	chrX:149680274-149682448	52.09	0.00	1.00	9.98	39.47	0.20	1.0	0.2	0.8	1.8605733023839936e-19	3.73209115361e-18	Y
NM_001017980|VMA21|chrX|+	3908.9	150573589	chrX:150573388-150577836	152.27	133.69	0.53	23.08	861.85	0.03	0.53	0.03	0.5	3.7869000578834094e-84	2.58266583948e-82	Y
NM_001142395|PRRG1|chrX|+	405.3	37313765	chrX:37312389-37316548	84.17	13.53	0.86	30.15	60.68	0.33	0.86	0.33	0.53	3.4851245268698704e-14	3.49537489313e-13	Y
NM_001127899|CLCN5|chrX|+	108.4	49857036	chrX:49856786-49863892	53.24	9.18	0.85	18.79	88.57	0.17	0.85	0.17	0.68	1.1769229643631194e-18	2.11226700446e-17	Y
NM_032121|MAGT1|chrX|-	6159.4	77084531	chrX:77081862-77084732	279.46	19.92	0.93	145.43	369.88	0.28	0.93	0.28	0.65	3.5950582870024125e-82	2.04319145978e-80	Y
NM_006667|PGRMC1|chrX|+	31503.1	118377315	chrX:118377114-118378429	947.67	0.00	1.00	479.50	704.04	0.41	1.0	0.41	0.59	1.310451551022142e-240	2.23431989449e-238	Y
NM_001166550|IDS|chrX|-	550.6	148564137	chrX:148560295-148564749	67.86	8.50	0.89	38.28	95.55	0.29	0.89	0.29	0.6	2.488032566641073e-18	4.04009097726e-17	Y
NM_001468|GAGE1|chrX|+	226.3	49370797	chrX:49370596-49373139	59.35	6.46	0.90	9.61	28.26	0.25	0.9	0.25	0.65	8.073605312434387e-12	6.88274852885e-11	Y
NM_003336|UBE2A|chrX|+	7241.5	118717291	chrX:118717090-118718379	372.60	159.78	0.70	91.12	415.00	0.18	0.7	0.18	0.52	4.556655568971806e-67	2.21974221288e-65	Y
